LAT,LONG,DMS_LAT,DMS_LONG,FC,DSG,PC,CC1,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD
38.973694,46.220886,38:58:25N,46:13:15E,H,FLLS,,AM,N,hye,,,VARDAPETIDZOR,Vardapeti Dzor,Vardapeti Dzor,VARDAPETIDZOR,Vardapeti Dzor,Vardapeti Dzor,,25/10/2016,12,1,17804770,hye_Armn2Latn_BGN_1981
38.973694,46.220886,38:58:25N,46:13:15E,H,FLLS,,AM,NS,hye,,,Վարդապետիձոր,Վարդապետի ձոր,Վարդապետի ձոր,Վարդապետիձոր,Վարդապետի ձոր,Վարդապետի ձոր,,25/10/2016,12,,17804392,
40.543091,44.169495,40:32:35N,44:10:10E,H,FLLS,,AM,NS,hye,,,Մեծ,Մեծ,Մեծ,Մեծ,Մեծ,Մեծ,,28/10/2016,12,,17817201,
40.543091,44.169495,40:32:35N,44:10:10E,H,FLLS,,AM,N,hye,,,METS,Mets,Mets,METS,Mets,Mets,,28/10/2016,12,1,17817895,hye_Armn2Latn_BGN_1981
41.038879,44.525085,41:02:20N,44:31:30E,H,FLLS,,AM,N,hye,,,KHAYTAKARI,Khaytak’ari,Khaytak'ari,KHAYTAKARI,Khaytak’ari,Khaytak'ari,,26/10/2016,12,1,17809406,hye_Armn2Latn_BGN_1981
41.038879,44.525085,41:02:20N,44:31:30E,H,FLLS,,AM,NS,hye,,,Խայտաքարի,Խայտաքարի,Խայտաքարի,Խայտաքարի,Խայտաքարի,Խայտաքարի,,26/10/2016,12,,17808767,
40.902893,44.82373,40:54:10N,44:49:25E,H,FLLS,,AM,NS,hye,,,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,Չռչըռ,,04/11/2016,12,,17830663,
40.902893,44.82373,40:54:10N,44:49:25E,H,FLLS,,AM,N,hye,,,CHRRCHYRR,Ch’rrch’yrr,Ch'rrch'yrr,CHRRCHYRR,Ch’rrch’yrr,Ch'rrch'yrr,,04/11/2016,12,1,17831085,hye_Armn2Latn_BGN_1981
40.100098,44.830688,40:06:00N,44:49:50E,H,FLLS,,AM,NS,hye,,,Կամուրջիչռիկ,Կամուրջի չռիկ,Կամուրջի չռիկ,Կամուրջիչռիկ,Կամուրջի չռիկ,Կամուրջի չռիկ,,18/11/2016,12,,17234545,
40.100098,44.830688,40:06:00N,44:49:50E,H,FLLS,,AM,N,hye,,,KAMURJICHRRIK,Kamurji Ch’rrik,Kamurji Ch'rrik,KAMURJICHRRIK,Kamurji Ch’rrik,Kamurji Ch'rrik,,18/11/2016,12,1,17234344,hye_Armn2Latn_BGN_1981
40.612488,44.50293,40:36:45N,44:30:11E,H,FLLS,,AM,N,hye,,,YEGHNIKI,Yeghniki,Yeghniki,YEGHNIKI,Yeghniki,Yeghniki,,04/11/2016,12,1,17832623,hye_Armn2Latn_BGN_1981
40.612488,44.50293,40:36:45N,44:30:11E,H,FLLS,,AM,NS,hye,,,Եղնիկի,Եղնիկի,Եղնիկի,Եղնիկի,Եղնիկի,Եղնիկի,,04/11/2016,12,,17832105,
42.573263,1.614229,42:34:24N,1:36:51E,H,FLLS,,AN,N,,,Cascada,CASCADADELAVALLDELRIU,Cascada de la Vall del Riu,Cascada de la Vall del Riu,VALLDELRIU CASCADADELA,"Vall del Riu, Cascada de la","Vall del Riu, Cascada de la",,29/10/2014,123,1,,
-9.8,15.2,9:48:00S,15:12:00E,H,FLLS,,AO,D,,,,CATARATAQUISSAQUINA,Catarata Quissaquina,Catarata Quissaquina,QUISSAQUINA CATARATA,"Quissaquina, Catarata","Quissaquina, Catarata",,31/01/1994,12345,1,,
-15.116667,16.766667,15:07:00S,16:46:00E,H,FLLS,,AO,D,,,,CATARATALINDOVALE,Catarata Lindo Vale,Catarata Lindo Vale,LINDOVALE CATARATA,"Lindo Vale, Catarata","Lindo Vale, Catarata",,31/01/1994,12345,1,,
-9.433333,14.433333,9:26:00S,14:26:00E,H,FLLS,,AO,D,,,,CASCATATARE,Cascata Tare,Cascata Tare,TARE CASCATA,"Tare, Cascata","Tare, Cascata",,31/01/1994,12345,1,,
-9.7,14.5,9:42:00S,14:30:00E,H,FLLS,,AO,D,,,,CATARATACABUTA,Catarata Cabuta,Catarata Cabuta,CABUTA CATARATA,"Cabuta, Catarata","Cabuta, Catarata",,31/01/1994,12345,1,,
-13.716667,21.25,13:43:00S,21:15:00E,H,FLLS,,AO,N,,,,QUEDASDOLUANGUINGA,Quedas do Luanguinga,Quedas do Luanguinga,LUANGUINGA QUEDASDO,"Luanguinga, Quedas do","Luanguinga, Quedas do",,31/01/1994,12345,1,,
-11.833333,23.533333,11:50:00S,23:32:00E,H,FLLS,,AO,N,,,,QUEDASDOLUIZAVO,Quedas do Luizavo,Quedas do Luizavo,LUIZAVO QUEDASDO,"Luizavo, Quedas do","Luizavo, Quedas do",,31/01/1994,12345,1,,
-8.400753,15.827918,8:24:03S,15:49:41E,H,FLLS,,AO,N,,,Queda,QUEDADOCALALO,Queda do Calalo,Queda do Calalo,CALALO QUEDADO,"Calalo, Queda do","Calalo, Queda do",,17/02/2011,12345,1,,
-9.063063,16.055258,9:03:47S,16:03:19E,H,FLLS,,AO,N,,,Quedas,QUEDASDOLUANDO,Quedas do Luando,Quedas do Luando,LUANDO QUEDASDO,"Luando, Quedas do","Luando, Quedas do",,06/04/2011,123,1,,
-9.074942,16.000897,9:04:30S,16:00:03E,H,FLLS,,AO,N,,,Quedas,QUEDASDECALANDULA,Quedas de Calandula,Quedas de Calandula,CALANDULA QUEDASDE,"Calandula, Quedas de","Calandula, Quedas de",,07/04/2011,12345,1,,
-9.074942,16.000897,9:04:30S,16:00:03E,H,FLLS,,AO,V,,,,QUEDASDODUQUEDEBRAGANCA,Quedas do Duque de Bragança,Quedas do Duque de Braganca,DUQUEDEBRAGANCA QUEDASDO,"Duque de Bragança, Quedas do","Duque de Braganca, Quedas do",,07/04/2011,12345,,,
-11.250638,16.056048,11:15:02S,16:03:22E,H,FLLS,,AO,N,,,Quedas,QUEDASTASSONGUE,Quedas Tassongue,Quedas Tassongue,TASSONGUE QUEDAS,"Tassongue, Quedas","Tassongue, Quedas",,14/04/2011,123,1,,
-9.86059,17.294906,9:51:38S,17:17:42E,H,FLLS,,AO,N,,,Cascatas,CASCATASBEMCASADOS,Cascatas bem Casados,Cascatas bem Casados,CASADOS CASCATASBEM,"Casados, Cascatas bem","Casados, Cascatas bem",,13/04/2011,123,1,,
-8.565652,16.492027,8:33:56S,16:29:31E,H,FLLS,,AO,N,,,Quedas,QUEDASLUACHI,Quedas Luachi,Quedas Luachi,LUACHI QUEDAS,"Luachi, Quedas","Luachi, Quedas",,17/03/2011,123,1,,
-10.911282,19.096649,10:54:41S,19:05:48E,H,FLLS,,AO,N,,,Quedas,QUEDASDONZUNGO,Quedas do Nzungo,Quedas do Nzungo,NZUNGO QUEDASDO,"Nzungo, Quedas do","Nzungo, Quedas do",,12/05/2011,123,1,,
-9.078267,15.800612,9:04:42S,15:48:02E,H,FLLS,,AO,N,,,Quedas,QUEDASDOHUCELEIGE,Quedas do Huceleige,Quedas do Huceleige,HUCELEIGE QUEDASDO,"Huceleige, Quedas do","Huceleige, Quedas do",,05/04/2011,123,1,,
-7.617899,17.278176,7:37:04S,17:16:41E,H,FLLS,,AO,V,,,,FRANZJOSEPHFALLS,Franz-Joseph Falls,Franz-Joseph Falls,FRANZJOSEPHFALLS,Franz-Joseph Falls,Franz-Joseph Falls,,26/05/2011,12345,,,
